r (Å),g_NN
0.05685300570425644, 0.015984178524415915
0.15045195261079436, 0.015240101890211744
0.24405089951733228, 0.01718317329883834
0.3376498464238702, 0.01718317329883834
0.4312487933304081, 0.017179719972875374
0.524847740236946, 0.017062306890126333
0.6184466871434842, 0.016141419966606785
0.7120456340500221, 0.016675534382248225
0.80564458095656, 0.017192382168073506
0.8992435278630979, 0.016857409549642988
0.9952736162477276, 0.018551709933644522
1.0864414216761737, 0.01630948183014902
1.1800403685827119, 0.01653970356102885
1.2736393154892496, 0.01664169178780872
1.3672382623957877, 0.016603014537021066
1.4608372093023254, 0.016989787044899174
1.5544361562088636, 0.01711986232284657
1.6480351031154017, 0.01686892063618739
1.7416340500219394, 0.017276413099844845
1.8352329969284775, 0.01702846429568683
1.9288319438350152, 0.017086480171868645
2.0649758666081612, 0.016541545334876284
2.1585748135146994, 0.01644485220790659
2.2521737604212375, 0.016638238461845756
2.345772707327775, 0.016772227509217696
2.4393716542343133, 0.016603014537021066
2.532970601140851, 0.017221850549626216
2.626569548047389, 0.016829782941937932
2.720168494953927, 0.01593606218266186
2.821744624835454, 0.015079464677490328
2.908709914320685, 0.02024654000072612
2.9889526366053216, 0.08660585912293883
3.0504238701184727, 0.11628332602018454
3.0635672287344073, 0.14501448003510342
3.1087459412022813, 0.17009828872312438
3.137109258446687, 0.19644958315050487
3.165827117156647, 0.2294053203159283
3.178107144281782, 0.2730845267062909
3.1958986796441824, 0.3126320156368423
3.2165265467310222, 0.3523326020184294
3.2363808688021054, 0.3900026327336552
3.2562351908731895, 0.4226881327536003
3.267246831685724, 0.45960955011227833
3.2752167954906, 0.5039058966483276
3.2962274681878014, 0.5403636682755597
3.2962274681878014, 0.5737614743308468
3.3157981570864417, 0.612211496270294
3.3567476963580516, 0.7394697235629664
3.3347797617038513, 0.6521587740912007
3.3591166779688058, 0.6910566835533927
3.368979376919701, 0.7739963643201906
3.395215445370777, 0.8098683633172445
3.409397103992979, 0.852953209142766
3.4238623957876264, 0.8906151820974111
3.4596001755155763, 0.9212566815019118
3.464705572619571, 0.9776551118911803
3.4774690653795526, 1.023390960947784
3.4957961319067072, 1.0641905019070443
3.5160868127046276, 1.1075536503864716
3.550859148749451, 1.1387055726195698
3.564449904929062, 1.1898389872101147
3.5828496979106887, 1.223501696489849
3.650151614485197, 1.2861341927205283
3.685612178080804, 1.3143713234549566
3.74675373615879, 1.3327974110223288
3.81262893081761, 1.357309931256399
3.88590083369899, 1.3585339434589105
3.9565909474465855, 1.3352647247443208
4.060662503797212, 1.3234421304890809
4.084160421237384, 1.2911052215884158
4.120370922919409, 1.2642971970905272
4.131810794207985, 1.2410262395787626
4.1900974111452385, 1.2232415533128562
4.256649909108004, 1.1946640339330115
4.305677928916191, 1.1673623714104626
4.379422553751645, 1.1590836491284056
4.4730215006581835, 1.1490490512851195
4.553856954804739, 1.1424282580078982
4.600656428258008, 1.121244405440983
4.6729828872312416, 1.083131197893813
4.77083633172444, 1.041577326578643
4.844282395325743, 0.9954773515623196
4.902725756910925, 0.9818209741114523
5.025574374725757, 0.9967417883783614
5.123351846047765, 1.0269870243841281
5.187276566089358, 1.041789776094729
5.268388628438142, 1.0566912014569114
5.339937950081304, 1.0853178348654073
5.432647067427234, 1.1094447402206946
5.570150065818341, 1.1849016924716353
5.5593365511189115, 1.1624967118688925
5.658608161474331, 1.1944400068720382
5.75323850173521, 1.1795342454824684
5.867281138343885, 1.123122028100402
5.950277607137632, 1.107980615279606
6.048401178461731, 1.0979763555444118
6.12376656428258, 1.0737358490566038
6.156384379113646, 1.0582148115645262
6.227576305397104, 1.0288697661881778
6.2407652479157525, 0.9961405099702598
6.277583015492625, 0.9705563605912882
6.340996205766202, 0.9513064243863408
6.420365824609791, 0.9581553312856516
6.5111284397918885, 0.9819501285024759
6.577245954107838, 1.0058247720325515
6.664087757788503, 1.0199519087318998
6.761941202281702, 0.9913999631493268
6.869721807810443, 0.9682827425934051
6.966037735849056, 0.9735849056603773
7.086792452830188, 0.9754716981132074
7.2377358490566035, 0.9641509433962263
7.343396226415095, 0.9490566037735848
7.464150943396227, 0.9396226415094339
7.562264150943397, 0.9283018867924527
7.645283018867925, 0.9245283018867922
7.758490566037736, 0.9301886792452829
7.8113207547169825, 0.9396226415094339
7.849056603773585, 0.9490566037735848
7.947169811320755, 0.9490566037735848
8.045283018867925, 0.9471698113207546
8.098113207547168, 0.950943396226415
8.158490566037736, 0.9547169811320754
8.19622641509434, 0.9584905660377359
8.249056603773585, 0.9660377358490565
8.30188679245283, 0.9735849056603773
8.354716981132077, 0.9792452830188678
8.40754716981132, 0.9773584905660376
8.460377358490566, 0.9735849056603773
8.498113207547169, 0.9660377358490565
8.543396226415094, 0.9566037735849056
8.596226415094339, 0.9584905660377359
