r (Å),g_NH
2.1581660824890765, 0.03917232348067756
2.206030633312527, 0.12229408306162792
2.2443222739712874, 0.19902186113635167
2.2711264224324195, 0.28161078892511604
2.2941014068276755, 0.3551415762467265
2.3170763912229315, 0.43027085894489314
2.340051375618188, 0.5032688144743176
2.363026360013444, 0.5773324335881123
2.3892834850365943, 0.6557348258668485
2.4128054928698326, 0.732919316906302
2.4332277012211714, 0.7995232909294989
2.4625846257262207, 0.872308113742049
2.504705430450857, 0.9471176973649049
2.5583137273731213, 1.0238454754396278
2.631067844624766, 1.0927260943930728
2.7153094540740383, 1.1543408252712597
2.780405243193931, 1.2257887246779626
2.8263552119844433, 1.2961225212464589
2.8723051807749553, 1.3696533085680693
2.922084313631344, 1.4499586715331807
2.9548062611033754, 1.55018640761131
2.970331780861382, 1.6907377465390985
2.985648437124886, 1.8250113581698644
3.0009650933883902, 1.9592849698006303
3.016281749651894, 2.092279785130151
3.0315984059153984, 2.2252746004596715
3.0457116106153417, 2.356990619487947
3.0539777425670738, 2.4912642311187128
3.0369592356076245, 2.4081424715377624
3.061636070698826, 2.693029869759652
3.056105055937005, 2.596764925971457
3.0692943988305776, 2.8951507295953816
3.063763384068757, 2.798175343417606
3.07695272696233, 3.097271589431111
3.0714217122005087, 3.001184256240312
3.084611055094082, 3.299392449266841
3.079080040332261, 3.202594673686461
3.092269383225834, 3.5015133091025703
3.086738368464013, 3.4056035865091663
3.0999277113575863, 3.7032789477435095
3.094396696595765, 3.607014003955315
3.107586039489338, 3.904334143994868
3.102055024727517, 3.808424421401464
3.126074326595285, 4.103710112779945
3.1227325106832478, 4.008556042546368
3.144654474960388, 4.298363254316104
3.141987735700224, 4.198457293281308
3.1497068442139744, 4.49986247706095
3.1480049935180294, 4.397469967662621
3.1480049935180294, 4.7003848415201235
3.1480049935180294, 4.602876623550163
3.1480049935180294, 4.904352851568763
3.1480049935180294, 4.806951199957239
3.1916574638690163, 4.0974323854829215
3.193954962308542, 4.008236343471056
3.193954962308542, 3.93790254690256
3.1952313503305008, 3.859043441659094
